station id,water year,year,month,day,daily rain,code,,,,,,
234,1900,1899,10,11,0.12,E339,,,,,,
234,1900,1899,10,12,0.08,E339,,,,,,
234,1900,1899,10,13,1.30,E339,,,,,,
234,1900,1899,10,14,0.02,E339,,,,,,
234,1900,1899,10,21,0.46,E339,,,,,,
234,1900,1899,10,30,0.08,E339,,,,,,
234,1900,1899,11,14,0.92,E339,,,,,,
234,1900,1899,11,15,0.15,E339,,,,,,
234,1900,1899,11,16,0.10,E339,,,,,,
234,1900,1899,11,21,0.80,E339,,,,,,
234,1900,1899,12,15,2.10,E339,,,,,,
234,1900,1899,12,29,0.06,E339,,,,,,
234,1900,1899,12,30,0.01,E339,,,,,,
234,1900,1899,12,31,0.18,E339,,,,,,
234,1900,1900,1,2,2.05,E339,,,,,,
234,1900,1900,1,3,0.23,E339,,,,,,
234,1900,1900,1,4,0.04,E339,,,,,,
234,1900,1900,2,18,0.05,E339,,,,,,
234,1900,1900,3,4,1.55,E339,,,,,,
234,1900,1900,3,20,0.03,E339,,,,,,
234,1900,1900,4,20,0.42,E339,,,,,,
234,1900,1900,5,2,0.09,E339,,,,,,
234,1900,1900,5,3,0.87,E339,,,,,,
234,1900,1900,5,4,0.70,E339,,,,,,
234,1900,1900,5,10,0.09,E339,,,,,,
234,1900,1900,5,11,0.15,E339,,,,,,
234,1900,1900,6,2,0.01,E339,,,,,,
234,1900,1900,7,20,0.02,E339,,,,,,
234,1901,1900,9,1,0.04,E339,,,,,,
234,1901,1900,10,4,0.15,E339,,,,,,
234,1901,1900,11,1,1.77,E339,,,,,,
234,1901,1900,11,21,2.22,E339,,,,,,
234,1901,1900,12,14,0.02,E339,,,,,,
234,1901,1901,1,4,0.06,E339,,,,,,
234,1901,1901,1,5,1.50,E339,,,,,,
234,1901,1901,1,6,0.79,E339,,,,,,
234,1901,1901,1,7,1.03,E339,,,,,,
234,1901,1901,1,20,0.17,E339,,,,,,
234,1901,1901,1,21,0.48,E339,,,,,,
234,1901,1901,1,27,0.70,E339,,,,,,
234,1901,1901,1,28,0.13,E339,,,,,,
234,1901,1901,2,1,0.05,E339,,,,,,
234,1901,1901,2,3,0.10,E339,,,,,,
234,1901,1901,2,4,0.89,E339,,,,,,
234,1901,1901,2,5,0.82,E339,,,,,,
234,1901,1901,2,6,0.41,E339,,,,,,
234,1901,1901,2,8,0.81,E339,,,,,,
234,1901,1901,2,9,0.42,E339,,,,,,
234,1901,1901,2,10,0.03,E339,,,,,,
234,1901,1901,2,19,0.09,E339,,,,,,
234,1901,1901,2,21,0.03,E339,,,,,,
234,1901,1901,3,11,0.16,E339,,,,,,
234,1901,1901,4,3,0.03,E339,,,,,,
234,1901,1901,4,29,1.79,E339,,,,,,
234,1901,1901,4,30,0.25,E339,,,,,,
234,1901,1901,5,1,0.09,E339,,,,,,
234,1901,1901,5,12,0.09,E339,,,,,,
234,1901,1901,5,13,0.02,E339,,,,,,
234,1901,1901,5,14,0.02,E339,,,,,,
234,1901,1901,5,24,0.12,E339,,,,,,
234,1901,1901,6,2,0.10,E339,,,,,,
234,1901,1901,7,2,0.06,E339,,,,,,
234,1901,1901,8,5,0.09,E339,,,,,,
234,1902,1901,9,6,0.03,E339,,,,,,
234,1902,1901,9,7,0.01,E339,,,,,,
234,1902,1901,9,30,0.32,E339,,,,,,
234,1902,1901,10,26,2.42,E339,,,,,,
234,1902,1901,11,10,1.16,E339,,,,,,
234,1902,1902,1,19,0.30,E339,,,,,,
234,1902,1902,1,22,0.20,E339,,,,,,
234,1902,1902,1,24,0.86,E339,,,,,,
234,1902,1902,2,2,0.31,E339,,,,,,
234,1902,1902,2,4,0.02,E339,,,,,,
234,1902,1902,2,17,0.07,E339,,,,,,
234,1902,1902,2,22,1.40,E339,,,,,,
234,1902,1902,2,24,0.76,E339,,,,,,
234,1902,1902,2,25,1.61,E339,,,,,,
234,1902,1902,2,27,0.23,E339,,,,,,
234,1902,1902,3,1,1.44,E339,,,,,,
234,1902,1902,3,7,0.70,E339,,,,,,
234,1902,1902,3,10,0.19,E339,,,,,,
234,1902,1902,3,18,0.15,E339,,,,,,
234,1902,1902,3,23,0.39,E339,,,,,,
234,1902,1902,3,25,0.02,E339,,,,,,
234,1902,1902,4,2,0.13,E339,,,,,,
234,1902,1902,4,5,0.02,E339,,,,,,
234,1902,1902,4,6,1.07,E339,,,,,,
234,1902,1902,4,20,0.03,E339,,,,,,
234,1902,1902,4,23,0.15,E339,,,,,,
234,1902,1902,5,13,0.03,E339,,,,,,
234,1902,1902,5,26,0.04,E339,,,,,,
234,1903,1902,10,10,0.01,E339,,,,,,
234,1903,1902,10,21,0.05,E339,,,,,,
234,1903,1902,10,22,0.08,E339,,,,,,
234,1903,1902,10,23,1.34,E339,,,,,,
234,1903,1902,11,10,3.90,E339,,,,,,
234,1903,1902,11,23,0.11,E339,,,,,,
234,1903,1902,12,10,1.01,E339,,,,,,
234,1903,1902,12,11,0.04,E339,,,,,,
234,1903,1902,12,12,0.06,E339,,,,,,
234,1903,1902,12,16,0.18,E339,,,,,,
234,1903,1902,12,17,0.11,E339,,,,,,
234,1903,1902,12,18,0.84,E339,,,,,,
234,1903,1903,1,25,0.01,E339,,,,,,
234,1903,1903,1,26,0.88,E339,,,,,,
234,1903,1903,1,27,1.01,E339,,,,,,
234,1903,1903,1,30,0.16,E339,,,,,,
234,1903,1903,2,1,0.69,E339,,,,,,
234,1903,1903,2,4,0.36,E339,,,,,,
234,1903,1903,2,7,0.58,E339,,,,,,
234,1903,1903,3,4,1.15,E339,,,,,,
234,1903,1903,3,5,0.48,E339,,,,,,
234,1903,1903,3,8,0.06,E339,,,,,,
234,1903,1903,3,13,0.07,E339,,,,,,
234,1903,1903,3,14,0.19,E339,,,,,,
234,1903,1903,3,16,0.18,E339,,,,,,
234,1903,1903,3,24,0.83,E339,,,,,,
234,1903,1903,3,25,0.38,E339,,,,,,
234,1903,1903,3,26,0.01,E339,,,,,,
234,1903,1903,3,28,0.56,E339,,,,,,
234,1903,1903,3,30,0.99,E339,,,,,,
234,1903,1903,3,31,1.22,E339,,,,,,
234,1903,1903,4,1,0.94,E339,,,,,,
234,1903,1903,4,16,1.97,E339,,,,,,
234,1903,1903,5,3,0.24,E339,,,,,,
234,1903,1903,5,5,0.01,E339,,,,,,
234,1903,1903,5,7,0.01,E339,,,,,,
234,1903,1903,5,8,0.01,E339,,,,,,
234,1903,1903,6,8,0.02,E339,,,,,,
234,1904,1903,11,7,0.05,E339,,,,,,
234,1904,1904,1,17,0.41,E339,,,,,,
234,1904,1904,1,19,0.05,E339,,,,,,
234,1904,1904,2,5,0.91,E339,,,,,,
234,1904,1904,2,6,0.47,E339,,,,,,
234,1904,1904,2,7,0.08,E339,,,,,,
234,1904,1904,2,13,0.10,E339,,,,,,
234,1904,1904,2,16,1.30,E339,,,,,,
234,1904,1904,2,25,0.05,E339,,,,,,
234,1904,1904,2,26,0.06,E339,,,,,,
234,1904,1904,2,27,1.76,E339,,,,,,
234,1904,1904,3,10,2.39,E339,,,,,,
234,1904,1904,3,11,0.11,E339,,,,,,
234,1904,1904,3,17,0.03,E339,,,,,,
234,1904,1904,3,18,0.01,E339,,,,,,
234,1904,1904,3,19,0.04,E339,,,,,,
234,1904,1904,3,22,1.35,E339,,,,,,
234,1904,1904,3,24,0.13,E339,,,,,,
234,1904,1904,3,28,0.18,E339,,,,,,
234,1904,1904,3,29,0.04,E339,,,,,,
234,1904,1904,3,30,0.07,E339,,,,,,
234,1904,1904,4,19,1.15,E339,,,,,,
234,1904,1904,4,26,0.33,E339,,,,,,
234,1904,1904,4,27,0.41,E339,,,,,,
234,1904,1904,5,1,0.02,E339,,,,,,
234,1904,1904,5,24,0.07,E339,,,,,,
234,1904,1904,8,22,0.07,E339,,,,,,
234,1904,1904,8,24,0.03,E339,,,,,,
234,1905,1904,9,24,2.60,E339,,,,,,
234,1905,1904,9,25,4.50,E339,,,,,,
234,1905,1904,9,26,0.05,E339,,,,,,
234,1905,1904,10,4,0.03,E339,,,,,,
234,1905,1904,10,7,0.16,E339,,,,,,
234,1905,1904,10,8,0.15,E339,,,,,,
234,1905,1904,10,9,0.08,E339,,,,,,
234,1905,1904,10,10,0.01,E339,,,,,,
234,1905,1904,10,11,0.08,E339,,,,,,
234,1905,1904,12,2,0.02,E339,,,,,,
234,1905,1904,12,24,0.07,E339,,,,,,
234,1905,1904,12,31,1.44,E339,,,,,,
234,1905,1905,1,9,0.62,E339,,,,,,
234,1905,1905,1,10,1.25,E339,,,,,,
234,1905,1905,1,15,0.40,E339,,,,,,
234,1905,1905,1,20,0.20,E339,,,,,,
234,1905,1905,1,21,1.16,E339,,,,,,
234,1905,1905,1,24,0.04,E339,,,,,,
234,1905,1905,1,31,0.06,E339,,,,,,
234,1905,1905,2,2,2.42,E339,,,,,,
234,1905,1905,2,3,0.38,E339,,,,,,
234,1905,1905,2,4,1.01,E339,,,,,,
234,1905,1905,2,5,1.51,E339,,,,,,
234,1905,1905,2,6,0.73,E339,,,,,,
234,1905,1905,2,15,0.20,E339,,,,,,
234,1905,1905,2,16,0.25,E339,,,,,,
234,1905,1905,2,17,0.39,E339,,,,,,
234,1905,1905,2,18,1.11,E339,,,,,,
234,1905,1905,2,25,0.15,E339,,,,,,
234,1905,1905,2,26,0.01,E339,,,,,,
234,1905,1905,2,28,0.06,E339,,,,,,
234,1905,1905,3,2,0.08,E339,,,,,,
234,1905,1905,3,5,0.01,E339,,,,,,
234,1905,1905,3,12,2.66,E339,,,,,,
234,1905,1905,3,13,0.97,E339,,,,,,
234,1905,1905,3,15,0.29,E339,,,,,,
234,1905,1905,3,16,1.31,E339,,,,,,
234,1905,1905,3,19,0.71,E339,,,,,,
234,1905,1905,3,29,0.37,E339,,,,,,
234,1905,1905,4,5,0.03,E339,,,,,,
234,1905,1905,4,11,0.02,E339,,,,,,
234,1905,1905,4,12,0.15,E339,,,,,,
234,1905,1905,4,18,0.09,E339,,,,,,
234,1905,1905,4,19,0.04,E339,,,,,,
234,1905,1905,4,25,0.01,E339,,,,,,
234,1905,1905,4,26,0.17,E339,,,,,,
234,1905,1905,5,2,0.58,E339,,,,,,
234,1905,1905,5,7,0.82,E339,,,,,,
234,1905,1905,5,25,0.04,E339,,,,,,
234,1905,1905,6,17,0.05,E339,,,,,,
234,1905,1905,7,14,0.18,E339,,,,,,
234,1906,1905,9,23,0.02,E339,,,,,,
234,1906,1905,9,28,0.01,E339,,,,,,
234,1906,1905,10,21,0.16,E339,,,,,,
234,1906,1905,11,6,0.13,E339,,,,,,
234,1906,1905,11,7,0.03,E339,,,,,,
234,1906,1905,11,15,0.05,E339,,,,,,
234,1906,1905,11,16,0.06,E339,,,,,,
234,1906,1905,11,21,0.03,E339,,,,,,
234,1906,1905,11,26,0.65,E339,,,,,,
234,1906,1905,11,27,0.05,E339,,,,,,
234,1906,1905,11,29,0.13,E339,,,,,,
234,1906,1905,12,17,0.07,E339,,,,,,
234,1906,1906,1,12,0.25,E339,,,,,,
234,1906,1906,1,13,0.76,E339,,,,,,
234,1906,1906,1,14,0.80,E339,,,,,,
234,1906,1906,1,15,0.04,E339,,,,,,
234,1906,1906,1,19,2.41,E339,,,,,,
234,1906,1906,2,3,0.01,E339,,,,,,
234,1906,1906,2,4,0.01,E339,,,,,,
234,1906,1906,2,5,0.09,E339,,,,,,
234,1906,1906,2,10,1.03,E339,,,,,,
234,1906,1906,2,15,1.87,E339,,,,,,
234,1906,1906,2,20,0.63,E339,,,,,,
234,1906,1906,2,28,0.03,E339,,,,,,
234,1906,1906,3,3,1.69,E339,,,,,,
234,1906,1906,3,12,1.70,E339,,,,,,
234,1906,1906,3,16,1.64,E339,,,,,,
234,1906,1906,3,21,0.41,E339,,,,,,
234,1906,1906,3,23,2.37,E339,,,,,,
234,1906,1906,3,24,0.82,E339,,,,,,
234,1906,1906,3,25,1.07,E339,,,,,,
234,1906,1906,3,30,0.26,E339,,,,,,
234,1906,1906,4,3,0.01,E339,,,,,,
234,1906,1906,4,4,0.04,E339,,,,,,
